                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.9148,                 2.7797,                 2.3583,                0.35246,                0.26759,                0.21827,                0.10016,                 1.9573,                  2.568,                 2.4849,               0.006733,               0.006733,               0.006733
                     35,                 1.8976,                 2.8053,                 2.3464,                0.47806,                 0.2294,                0.21242,                0.09714,                  1.985,                 2.6655,                  2.545,               0.006634,               0.006634,               0.006634
                     36,                 1.8794,                 2.7074,                 2.3275,                0.47239,                0.22806,                0.22406,                0.09708,                 2.0439,                 2.6867,                 2.6344,               0.006535,               0.006535,               0.006535
                     37,                 1.8525,                 2.6599,                 2.3084,                0.60699,                0.25161,                0.26947,                0.12625,                 1.9077,                 2.4278,                 2.4594,               0.006436,               0.006436,               0.006436
                     38,                 1.8844,                 2.7455,                 2.3233,                0.36242,                0.28891,                0.23351,                0.11359,                  1.902,                 2.4928,                 2.4367,               0.006337,               0.006337,               0.006337
                     39,                  1.853,                 2.6426,                 2.3076,                0.52526,                0.26605,                0.27446,                0.13494,                 1.8643,                  2.356,                 2.3989,               0.006238,               0.006238,               0.006238
                     40,                 1.8536,                 2.6854,                 2.2927,                 0.5812,                0.26034,                0.28284,                0.13264,                 1.8962,                 2.4051,                 2.4306,               0.006139,               0.006139,               0.006139
                     41,                 1.8371,                 2.6338,                 2.2627,                0.48692,                0.27884,                0.28158,                  0.132,                 1.9182,                 2.4413,                 2.4657,                0.00604,                0.00604,                0.00604
                     42,                 1.8265,                  2.554,                 2.2502,                0.39565,                0.30227,                0.24336,                0.11552,                 1.8705,                  2.536,                 2.4093,               0.005941,               0.005941,               0.005941
                     43,                 1.8311,                 2.5827,                 2.2708,                 0.5295,                 0.2774,                0.30753,                0.14883,                 1.8477,                 2.3865,                 2.3815,               0.005842,               0.005842,               0.005842
                     44,                  1.776,                 2.5596,                 2.2264,                0.61253,                 0.2794,                0.31467,                0.15162,                 1.8329,                 2.2758,                  2.393,               0.005743,               0.005743,               0.005743
                     45,                 1.8032,                  2.534,                 2.2551,                0.45644,                  0.342,                0.32159,                0.15776,                 1.8416,                 2.2691,                 2.3778,               0.005644,               0.005644,               0.005644
                     46,                 1.7929,                   2.61,                 2.2649,                0.54804,                0.35767,                0.34842,                 0.1703,                 1.8147,                 2.2502,                 2.3462,               0.005545,               0.005545,               0.005545
                     47,                 1.7733,                 2.4785,                 2.2022,                0.47913,                 0.3873,                0.33138,                0.16857,                 1.7778,                 2.1871,                 2.3019,               0.005446,               0.005446,               0.005446
                     48,                 1.7746,                 2.5268,                 2.2126,                0.60889,                0.36624,                0.38699,                0.19979,                 1.7361,                 2.1462,                 2.2584,               0.005347,               0.005347,               0.005347
                     49,                 1.8009,                 2.4971,                 2.2279,                 0.5726,                 0.3735,                0.37599,                0.19113,                 1.7752,                 2.2328,                 2.3108,               0.005248,               0.005248,               0.005248
                     50,                 1.7636,                  2.496,                 2.1917,                0.48917,                0.32145,                0.34464,                 0.1682,                  1.855,                 2.2347,                 2.4027,               0.005149,               0.005149,               0.005149
                     51,                 1.7549,                 2.4412,                 2.1898,                 0.5204,                0.36326,                 0.3814,                 0.1933,                 1.7932,                 2.1324,                 2.2893,                0.00505,                0.00505,                0.00505
                     52,                 1.7831,                 2.4726,                 2.1906,                0.53401,                0.38408,                0.38436,                 0.1939,                 1.7652,                 2.1598,                 2.2654,               0.004951,               0.004951,               0.004951
                     53,                 1.7348,                    2.4,                 2.1759,                0.58521,                0.38403,                0.42482,                0.21957,                 1.7133,                 2.0228,                 2.2166,               0.004852,               0.004852,               0.004852
                     54,                 1.6725,                 2.3574,                 2.1237,                0.56851,                 0.3668,                0.38151,                0.19901,                 1.7541,                 2.1447,                 2.2812,               0.004753,               0.004753,               0.004753
                     55,                 1.7183,                 2.3745,                 2.1369,                0.62713,                0.39875,                 0.4166,                0.21976,                 1.7014,                 1.9875,                 2.2276,               0.004654,               0.004654,               0.004654
                     56,                 1.6887,                 2.3234,                  2.115,                0.63369,                0.40558,                0.44936,                0.24164,                 1.6731,                 1.9349,                 2.2218,               0.004555,               0.004555,               0.004555
                     57,                 1.7042,                 2.3858,                 2.1403,                0.58148,                0.42977,                0.41419,                0.21903,                 1.7094,                 2.0113,                 2.2623,               0.004456,               0.004456,               0.004456
                     58,                 1.7001,                 2.3607,                 2.1327,                0.58144,                0.43958,                0.44032,                0.23153,                 1.6957,                 1.9733,                 2.2289,               0.004357,               0.004357,               0.004357
                     59,                 1.6965,                 2.3117,                  2.127,                0.75056,                0.38504,                0.46037,                0.23696,                 1.6737,                 1.9764,                  2.205,               0.004258,               0.004258,               0.004258
                     60,                 1.6982,                 2.3083,                 2.0989,                0.62796,                 0.3943,                0.42487,                0.21828,                 1.7106,                 1.9578,                 2.2368,               0.004159,               0.004159,               0.004159
                     61,                 1.6544,                 2.3146,                 2.0972,                0.69194,                0.38648,                0.44437,                0.24084,                 1.6238,                 1.9071,                 2.1738,                0.00406,                0.00406,                0.00406
                     62,                  1.676,                  2.327,                 2.1136,                0.60597,                0.44348,                0.46675,                0.25174,                 1.6643,                 1.8683,                 2.1814,               0.003961,               0.003961,               0.003961
                     63,                 1.6688,                 2.3071,                 2.1033,                0.68221,                0.39341,                0.45611,                0.25233,                 1.6484,                 1.9427,                 2.1824,               0.003862,               0.003862,               0.003862
                     64,                 1.6868,                 2.2703,                 2.0988,                0.62359,                0.41478,                0.46508,                0.25109,                 1.6407,                 1.9083,                 2.1791,               0.003763,               0.003763,               0.003763
                     65,                 1.6538,                 2.2588,                  2.094,                0.64358,                0.44588,                0.48248,                0.27069,                 1.6159,                 1.8546,                 2.1621,               0.003664,               0.003664,               0.003664
                     66,                 1.6899,                 2.2391,                 2.1001,                0.61953,                0.43365,                0.47451,                0.25864,                 1.6156,                 1.8362,                 2.1573,               0.003565,               0.003565,               0.003565
                     67,                  1.666,                 2.2506,                 2.0985,                0.64604,                0.44208,                0.50098,                0.27538,                 1.5985,                 1.7794,                 2.1453,               0.003466,               0.003466,               0.003466
