                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.9249,                 2.8049,                 2.3449,                0.49444,                0.22817,                 0.2201,                 0.1012,                 1.9073,                 2.6797,                  2.468,              0.0099366,              0.0099366,              0.0099366
                     34,                 1.8955,                 2.7816,                 2.3158,                0.27383,                0.24978,                0.16321,                0.07272,                 1.9718,                 2.8704,                 2.5465,              0.0099347,              0.0099347,              0.0099347
                     35,                 1.8586,                 2.7868,                 2.2905,                0.48212,                0.24574,                0.24236,                 0.1156,                 1.9006,                 2.5657,                 2.4428,              0.0099327,              0.0099327,              0.0099327
                     36,                 1.8655,                 2.7396,                 2.2792,                0.34413,                0.29247,                0.21875,                0.09425,                 1.9371,                 2.7781,                 2.4527,              0.0099307,              0.0099307,              0.0099307
                     37,                 1.8519,                 2.6503,                 2.2864,                0.68981,                0.22082,                0.26554,                0.12374,                 1.8708,                 2.5215,                 2.3993,              0.0099287,              0.0099287,              0.0099287
                     38,                 1.8614,                 2.7474,                 2.2923,                0.45226,                0.25322,                 0.2615,                0.12579,                 1.8989,                 2.4778,                 2.4042,              0.0099267,              0.0099267,              0.0099267
                     39,                 1.8361,                 2.6646,                 2.2819,                0.56819,                0.27529,                0.27925,                0.12935,                 1.8565,                 2.4045,                 2.4028,              0.0099248,              0.0099248,              0.0099248
                     40,                  1.846,                 2.6573,                 2.2597,                 0.4277,                0.30342,                0.28761,                0.13696,                 1.8418,                  2.452,                 2.3778,              0.0099228,              0.0099228,              0.0099228
                     41,                 1.8254,                 2.6207,                 2.2152,                0.43471,                 0.3218,                0.30526,                0.14465,                 1.8377,                 2.3793,                 2.3551,              0.0099208,              0.0099208,              0.0099208
                     42,                 1.8182,                  2.527,                 2.2195,                0.47842,                 0.3021,                0.28666,                0.13982,                 1.8472,                 2.3241,                 2.3495,              0.0099188,              0.0099188,              0.0099188
                     43,                 1.8344,                 2.5642,                 2.2218,                0.75522,                0.25888,                 0.3102,                0.15139,                 1.8184,                 2.4028,                 2.3644,              0.0099168,              0.0099168,              0.0099168
                     44,                 1.7791,                 2.5475,                 2.1883,                0.44302,                0.35045,                0.29248,                0.13919,                  1.828,                 2.3768,                  2.377,              0.0099149,              0.0099149,              0.0099149
                     45,                 1.8013,                 2.5477,                  2.209,                0.54285,                0.29751,                0.26258,                0.12227,                 1.8745,                  2.465,                    2.4,              0.0099129,              0.0099129,              0.0099129
                     46,                 1.8368,                 2.5774,                 2.2528,                0.48392,                0.36724,                0.33745,                0.16115,                 1.8385,                 2.3303,                 2.3428,              0.0099109,              0.0099109,              0.0099109
                     47,                 1.7893,                 2.4818,                 2.1818,                0.53787,                0.34307,                0.30448,                0.15162,                 1.7754,                  2.312,                 2.3193,              0.0099089,              0.0099089,              0.0099089
                     48,                 1.7959,                 2.5046,                 2.1945,                0.61942,                 0.3296,                0.31157,                0.14876,                 1.8359,                 2.3857,                 2.3923,              0.0099069,              0.0099069,              0.0099069
                     49,                 1.8154,                 2.5194,                 2.2045,                0.45365,                0.34992,                  0.352,                0.18283,                 1.7475,                 2.2391,                 2.2608,               0.009905,               0.009905,               0.009905
